id,name,createddate,lastmodifieddate,ccs_country_code__c,ccs_date_of_birth__c,ccs_email__c,ccs_facility_id__c,ccs_first_name__c,ccs_is_card_needed__c,ccs_last_name__c,ccs_level_of_control__c,ccs_limit__c,ccs_mobile_number__c,ccs_number_of_cards__c,ccs_title__c,createdbyid,currencyisocode,lastmodifiedbyid,_merge
a5V26000000EHRbEAO,CD-00004,2023-06-19T10:16:00.000+0000,2023-06-19T10:16:00.000+0000,None,1999-12-25,None,a0i26000005nrlNAAQ,SARAH,Yes,JONES,Standard,50000,3343434,None,Ms,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRbEAO,CD-00004,2023-06-19T10:16:00.000+0000,2023-06-19T10:16:00.000+0000,nan,1999-12-25,None,a0i26000005nrlNAAQ,SARAH,Yes,JONES,Standard,50000,3343434,None,Ms,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHRgEAO,CD-00005,2023-06-19T10:16:53.000+0000,2023-06-19T10:16:53.000+0000,44,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,KING,Yes,JAMES,Standard,40000,343434343,None,Dr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRgEAO,CD-00005,2023-06-19T10:16:53.000+0000,2023-06-19T10:16:53.000+0000,44,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,KING,Yes,JAMES,Standard,40000,343434343,None,Dr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHRlEAO,CD-00006,2023-06-19T10:20:15.000+0000,2023-06-19T10:20:15.000+0000,None,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Robert,Yes,Williams,Standard,100000,123456788,None,Miss,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRlEAO,CD-00006,2023-06-19T10:20:15.000+0000,2023-06-19T14:17:45.000+0000,nan,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Robert,Yes,Williams,Standard,501,123456788,None,Miss,0052600000A71TrAAJ,GBP,00526000009uyrWAAQ,salesforce_only
a5V26000000EHRMEA4,CD-00001,2023-06-19T10:13:01.000+0000,2023-06-19T10:13:01.000+0000,44,1999-12-25,etl@gmail.com,a0i26000005nrlNAAQ,RatnaKumar,Yes,Dangeti,Business Representative,100000,12346788,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRMEA4,CD-00001,2023-06-19T10:13:01.000+0000,2023-06-19T10:13:01.000+0000,44,1999-12-25,etl@gmail.com,a0i26000005nrlNAAQ,RatnaKumar,Yes,Dangeti,Business Representative,100000,12346788,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHRqEAO,CD-00007,2023-06-19T10:20:51.000+0000,2023-06-19T10:20:51.000+0000,44,1999-12-25,adf@gmail.com,a0i26000005nrlNAAQ,Kumar,Yes,Joginder,Standard,45454545,434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRqEAO,CD-00007,2023-06-19T10:20:51.000+0000,2023-06-19T10:20:51.000+0000,44,1999-12-25,adf@gmail.com,a0i26000005nrlNAAQ,Kumar,Yes,Joginder,Standard,45454545,434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
